Year,Name,Team,Position,Game Date,Home or Away,Opponent,Location,Zipcode,Temperature,Wind Speed,Pressure,Extra Points Made,Extra Points Attempted,Percentage of Extra Points Made
2014,"Janikowski, Sebastian",OAK,K,09/07,Away,NYJ,MetLife Stadium,7073,72.7 °F,6.10 MPH,"",2,2,100
2014,"Janikowski, Sebastian",OAK,K,09/14,Home,HOU,Oakland–Alameda County Coliseum,94621,64.9 °F,8.86 MPH,29.83 IN,2,2,100
2014,"Janikowski, Sebastian",OAK,K,09/21,Away,NE,Gillete Stadium,2035,68.2 °F,13.00 MPH,"",0,0,--
2014,"Janikowski, Sebastian",OAK,K,09/28,Home,MIA,Oakland–Alameda County Coliseum,94621,64.7 °F,8.75 MPH,29.86 IN,2,2,100
2014,"Janikowski, Sebastian",OAK,K,10/12,Home,LAC,Oakland–Alameda County Coliseum,94621,65.0 °F,4.60 MPH,29.97 IN,4,4,100
2014,"Janikowski, Sebastian",OAK,K,10/19,Home,ARI,Oakland–Alameda County Coliseum,94621,63.7 °F,6.21 MPH,29.90 IN,1,1,100
2014,"Janikowski, Sebastian",OAK,K,10/26,Away,CLE,FirstEnergy Stadium,44114,54.7 °F,12.31 MPH,29.89 IN,1,1,100
2014,"Janikowski, Sebastian",OAK,K,11/02,Away,SEA,CenturyLink Field,98134,51.0 °F,4.03 MPH,30.09 IN,3,3,100
2014,"Janikowski, Sebastian",OAK,K,11/09,Home,DEN,Oakland–Alameda County Coliseum,94621,59.1 °F,3.11 MPH,29.98 IN,2,2,100
2014,"Janikowski, Sebastian",OAK,K,11/16,Away,LAC,StubHub Center,90746,63.6 °F,3.80 MPH,30.07 IN,0,0,--
2014,"Janikowski, Sebastian",OAK,K,11/20,Home,KC,Oakland–Alameda County Coliseum,94621,56.7 °F,3.80 MPH,30.08 IN,3,3,100
2014,"Janikowski, Sebastian",OAK,K,11/30,Away,LAR,Los Angeles Memorial Coliseum,90037,62.7 °F,4.72 MPH,29.91 IN,--,--,--
2014,"Janikowski, Sebastian",OAK,K,12/07,Home,SF,Oakland–Alameda County Coliseum,94621,59.1 °F,3.80 MPH,30.19 IN,3,3,100
2014,"Janikowski, Sebastian",OAK,K,12/14,Away,KC,Arrowhead Stadium,64129,58.6 °F,11.05 MPH,29.94 IN,1,1,100
2014,"Janikowski, Sebastian",OAK,K,12/21,Home,BUF,Oakland–Alameda County Coliseum,94621,58.3 °F,7.02 MPH,30.26 IN,2,2,100
2014,"Janikowski, Sebastian",OAK,K,12/28,Away,DEN,Broncos Stadium at Mile High,80204,20.8 °F,6.21 MPH,30.06 IN,2,2,100
2014,"Dawson, Phil",SF,K,09/07,Away,DAL,AT&T Stadium,76011,78.2 °F,9.78 MPH,30.04 IN,4,4,100
2014,"Dawson, Phil",SF,K,09/14,Home,CHI,Levi's Stadium,95054,67.1 °F,4.95 MPH,29.82 IN,2,2,100
2014,"Dawson, Phil",SF,K,09/21,Away,ARI,State Farm Stadium,85305,87.0 °F,3.34 MPH,29.83 IN,2,2,100
2014,"Dawson, Phil",SF,K,09/28,Home,PHI,Levi's Stadium,95054,64.1 °F,7.02 MPH,29.86 IN,2,2,100
2014,"Dawson, Phil",SF,K,10/05,Home,KC,Levi's Stadium,95054,72.4 °F,2.88 MPH,29.92 IN,1,1,100
2014,"Dawson, Phil",SF,K,10/13,Away,LAR,Los Angeles Memorial Coliseum,90037,70.9 °F,0.81 MPH,29.94 IN,4,4,100
2014,"Dawson, Phil",SF,K,10/19,Away,DEN,Broncos Stadium at Mile High,80204,56.3 °F,6.33 MPH,29.98 IN,2,2,100
2014,"Dawson, Phil",SF,K,11/02,Home,LAR,Levi's Stadium,95054,53.5 °F,4.49 MPH,30.08 IN,1,1,100
2014,"Dawson, Phil",SF,K,11/09,Away,NO,Mercedes-Benz Superdome,70112,61.9 °F,10.24 MPH,30.02 IN,3,3,100
2014,"Dawson, Phil",SF,K,11/16,Away,NYG,MetLife Stadium,7073,35.7 °F,2.76 MPH,"",1,1,100
2014,"Dawson, Phil",SF,K,11/23,Home,WAS,Levi's Stadium,95054,54.6 °F,5.64 MPH,30.25 IN,2,2,100
2014,"Dawson, Phil",SF,K,11/27,Home,SEA,Levi's Stadium,95054,55.2 °F,1.38 MPH,30.17 IN,0,0,--
2014,"Dawson, Phil",SF,K,12/07,Away,OAK,Oakland–Alameda County Coliseum,94621,59.1 °F,3.80 MPH,30.19 IN,1,1,100
2014,"Dawson, Phil",SF,K,12/14,Away,SEA,CenturyLink Field,98134,44.4 °F,3.11 MPH,30.19 IN,1,1,100
2014,"Dawson, Phil",SF,K,12/20,Home,LAC,Levi's Stadium,95054,56.8 °F,2.99 MPH,30.16 IN,5,5,100
2014,"Dawson, Phil",SF,K,12/28,Home,ARI,Levi's Stadium,95054,45.0 °F,1.84 MPH,30.33 IN,2,2,100
2014,"Hauschka, Steven",SEA,K,09/04,Home,GB,CenturyLink Field,98134,60.7 °F,3.68 MPH,30.11 IN,4,4,100
2014,"Hauschka, Steven",SEA,K,09/14,Away,LAC,StubHub Center,90746,81.2 °F,3.91 MPH,29.71 IN,3,3,100
2014,"Hauschka, Steven",SEA,K,09/21,Home,DEN,CenturyLink Field,98134,65.2 °F,3.68 MPH,29.88 IN,2,2,100
2014,"Hauschka, Steven",SEA,K,10/06,Away,WAS,FedExField,20785,54.9 °F,3.34 MPH,No data.,3,3,100
2014,"Hauschka, Steven",SEA,K,10/12,Home,DAL,CenturyLink Field,98134,58.1 °F,3.22 MPH,30.19 IN,2,2,100
2014,"Hauschka, Steven",SEA,K,10/19,Away,LAR,Los Angeles Memorial Coliseum,90037,68.2 °F,1.38 MPH,29.86 IN,2,2,100
2014,"Hauschka, Steven",SEA,K,10/26,Away,CAR,Bank of America Stadium,28202,64.5 °F,6.56 MPH,29.91 IN,1,1,100
2014,"Hauschka, Steven",SEA,K,11/02,Home,OAK,CenturyLink Field,98134,51.0 °F,4.03 MPH,30.09 IN,3,3,100
2014,"Hauschka, Steven",SEA,K,11/09,Home,NYG,CenturyLink Field,98134,51.6 °F,5.52 MPH,29.99 IN,5,5,100
2014,"Hauschka, Steven",SEA,K,11/16,Away,KC,Arrowhead Stadium,64129,26.3 °F,7.02 MPH,30.19 IN,2,2,100
2014,"Hauschka, Steven",SEA,K,11/23,Home,ARI,CenturyLink Field,98134,49.7 °F,7.13 MPH,30.10 IN,1,1,100
2014,"Hauschka, Steven",SEA,K,11/27,Away,SF,Levi's Stadium,95054,55.2 °F,1.38 MPH,30.17 IN,1,1,100
2014,"Hauschka, Steven",SEA,K,12/07,Away,PHI,Lincoln Financial Field,19148,42.2 °F,17.38 MPH,30.37 IN,3,3,100
2014,"Hauschka, Steven",SEA,K,12/14,Home,SF,CenturyLink Field,98134,44.4 °F,3.11 MPH,30.19 IN,2,2,100
2014,"Hauschka, Steven",SEA,K,12/21,Away,ARI,State Farm Stadium,85305,51.6 °F,4.26 MPH,30.09 IN,5,5,100
2014,"Hauschka, Steven",SEA,K,12/28,Home,LAR,CenturyLink Field,98134,44.3 °F,3.57 MPH,30.14 IN,2,2,100
2014,"Crosby, Mason",GB,K,09/04,Away,SEA,CenturyLink Field,98134,60.7 °F,3.68 MPH,30.11 IN,1,1,100
2014,"Crosby, Mason",GB,K,09/14,Home,NYJ,Lambeau Field,54304,52.6 °F,9.44 MPH,30.24 IN,2,2,100
2014,"Crosby, Mason",GB,K,09/21,Away,DET,Ford Field,48226,66.2 °F,12.43 MPH,29.70 IN,1,1,100
2014,"Crosby, Mason",GB,K,09/28,Away,CHI,Soldier Field,60605,68.9 °F,4.03 MPH,30.13 IN,5,5,100
2014,"Crosby, Mason",GB,K,10/02,Home,MIN,Lambeau Field,54304,60.1 °F,4.49 MPH,29.86 IN,6,6,100
2014,"Crosby, Mason",GB,K,10/12,Away,MIA,Hard Rock Stadium,33056,82.6 °F,9.90 MPH,30.01 IN,3,3,100
2014,"Crosby, Mason",GB,K,10/19,Home,CAR,Lambeau Field,54304,41.2 °F,5.64 MPH,30.09 IN,5,5,100
2014,"Crosby, Mason",GB,K,10/26,Away,NO,Mercedes-Benz Superdome,70112,73.5 °F,5.52 MPH,30.04 IN,2,2,100
2014,"Crosby, Mason",GB,K,11/09,Home,CHI,Lambeau Field,54304,34.4 °F,7.71 MPH,29.83 IN,7,7,100
2014,"Crosby, Mason",GB,K,11/16,Home,PHI,Lambeau Field,54304,23.2 °F,8.17 MPH,30.04 IN,5,6,83.3
2014,"Crosby, Mason",GB,K,11/23,Away,MIN,U.S. Bank Stadium,55415,43.3 °F,6.33 MPH,29.46 IN,3,3,100
2014,"Crosby, Mason",GB,K,11/30,Home,NE,Lambeau Field,54304,33.2 °F,9.32 MPH,29.75 IN,2,2,100
2014,"Crosby, Mason",GB,K,12/08,Home,ATL,Lambeau Field,54304,33.3 °F,8.52 MPH,30.18 IN,4,5,80
2014,"Crosby, Mason",GB,K,12/14,Away,BUF,New Era Field,14127,36.7 °F,11.28 MPH,29.99 IN,1,1,100
2014,"Crosby, Mason",GB,K,12/21,Away,TB,Raymond James Stadium,33607,69.0 °F,3.45 MPH,30.06 IN,2,2,100
2014,"Crosby, Mason",GB,K,12/28,Home,DET,Lambeau Field,54304,25.9 °F,10.13 MPH,30.11 IN,4,4,100
2014,"Prater, Matt",DET,K,10/12,Away,MIN,U.S. Bank Stadium,55415,49.8 °F,12.54 MPH,29.92 IN,2,2,100
2014,"Prater, Matt",DET,K,10/19,Home,NO,Ford Field,48226,45.0 °F,6.21 MPH,30.14 IN,3,3,100
2014,"Prater, Matt",DET,K,10/26,Away,ATL,Mercedes-Benz Stadium,30313,68.0 °F,7.60 MPH,29.99 IN,1,1,100
2014,"Prater, Matt",DET,K,11/09,Home,MIA,Ford Field,48226,42.1 °F,8.63 MPH,29.89 IN,2,2,100
2014,"Prater, Matt",DET,K,11/16,Away,ARI,State Farm Stadium,85305,63.8 °F,9.44 MPH,29.94 IN,0,0,--
2014,"Prater, Matt",DET,K,11/23,Away,NE,Gillete Stadium,2035,45.8 °F,14.38 MPH,"",0,0,--
