Year,Name,Team,Position,Game Date,Home or Away,Opponent,Location,Extra Points Made,Extra Points Attempted,Percentage of Extra Points Made
2015,"Janikowski, Sebastian",OAK,K,09/13,Home,CIN,Oakland–Alameda County Coliseum,1,1,100
2015,"Janikowski, Sebastian",OAK,K,09/20,Home,BAL,Oakland–Alameda County Coliseum,4,4,100
2015,"Janikowski, Sebastian",OAK,K,09/27,Away,CLE,FirstEnergy Stadium,3,3,100
2015,"Janikowski, Sebastian",OAK,K,10/04,Away,CHI,Soldier Field,2,2,100
2015,"Janikowski, Sebastian",OAK,K,10/11,Home,DEN,Oakland–Alameda County Coliseum,1,1,100
2015,"Janikowski, Sebastian",OAK,K,10/25,Away,LAC,StubHub Center,4,4,100
2015,"Janikowski, Sebastian",OAK,K,11/01,Home,NYJ,Oakland–Alameda County Coliseum,4,4,100
2015,"Janikowski, Sebastian",OAK,K,11/08,Away,PIT,Heinz Field,5,5,100
2015,"Janikowski, Sebastian",OAK,K,11/15,Home,MIN,Oakland–Alameda County Coliseum,2,2,100
2015,"Janikowski, Sebastian",OAK,K,11/22,Away,DET,Ford Field,1,1,100
2015,"Janikowski, Sebastian",OAK,K,11/29,Away,TEN,Nissan Stadium,3,3,100
2015,"Janikowski, Sebastian",OAK,K,12/06,Home,KC,Oakland–Alameda County Coliseum,2,3,66.7
2015,"Janikowski, Sebastian",OAK,K,12/13,Away,DEN,Broncos Stadium at Mile High,1,1,100
2015,"Janikowski, Sebastian",OAK,K,12/20,Home,GB,Oakland–Alameda County Coliseum,2,2,100
2015,"Janikowski, Sebastian",OAK,K,12/24,Home,LAC,Oakland–Alameda County Coliseum,1,1,100
2015,"Janikowski, Sebastian",OAK,K,01/03,Away,KC,Arrowhead Stadium,2,2,100
2015,"Myers, Jason",JAX,K,09/13,Home,CAR,TIAA Bank Field,0,1,0
2015,"Myers, Jason",JAX,K,09/20,Home,MIA,TIAA Bank Field,2,2,100
2015,"Myers, Jason",JAX,K,09/27,Away,NE,Gillete Stadium,2,2,100
2015,"Myers, Jason",JAX,K,10/04,Away,IND,Lucas Oil Stadium,1,1,100
2015,"Myers, Jason",JAX,K,10/11,Away,TB,Raymond James Stadium,4,4,100
2015,"Myers, Jason",JAX,K,10/18,Home,HOU,TIAA Bank Field,2,3,66.7
2015,"Myers, Jason",JAX,K,10/25,Home,BUF,TIAA Bank Field,4,5,80
2015,"Myers, Jason",JAX,K,11/08,Away,NYJ,MetLife Stadium,2,2,100
2015,"Myers, Jason",JAX,K,11/15,Away,BAL,M&T Bank Stadium,1,1,100
2015,"Myers, Jason",JAX,K,11/19,Home,TEN,TIAA Bank Field,1,1,100
2015,"Myers, Jason",JAX,K,11/29,Home,LAC,TIAA Bank Field,1,2,50
2015,"Myers, Jason",JAX,K,12/06,Away,TEN,Nissan Stadium,3,5,60
2015,"Myers, Jason",JAX,K,12/13,Home,IND,TIAA Bank Field,6,7,85.7
2015,"Myers, Jason",JAX,K,12/20,Home,ATL,TIAA Bank Field,2,2,100
2015,"Myers, Jason",JAX,K,12/27,Away,NO,Mercedes-Benz Superdome,1,1,100
2015,"Myers, Jason",JAX,K,01/03,Away,HOU,NRG Stadium,0,0,--
2015,"Dawson, Phil",SF,K,09/14,Home,MIN,Levi's Stadium,2,2,100
2015,"Dawson, Phil",SF,K,09/20,Away,PIT,Heinz Field,1,1,100
2015,"Dawson, Phil",SF,K,09/27,Away,ARI,State Farm Stadium,1,1,100
2015,"Dawson, Phil",SF,K,10/04,Home,GB,Levi's Stadium,0,0,--
2015,"Dawson, Phil",SF,K,10/11,Away,NYG,MetLife Stadium,3,3,100
2015,"Dawson, Phil",SF,K,10/18,Home,BAL,Levi's Stadium,1,1,100
2015,"Dawson, Phil",SF,K,10/22,Home,SEA,Levi's Stadium,0,0,--
2015,"Dawson, Phil",SF,K,11/01,Away,LAR,Los Angeles Memorial Coliseum,0,0,--
2015,"Dawson, Phil",SF,K,11/08,Home,ATL,Levi's Stadium,2,2,100
2015,"Dawson, Phil",SF,K,11/22,Away,SEA,CenturyLink Field,1,1,100
2015,"Dawson, Phil",SF,K,11/29,Home,ARI,Levi's Stadium,1,1,100
2015,"Dawson, Phil",SF,K,12/06,Away,CHI,Soldier Field,2,3,66.7
2015,"Dawson, Phil",SF,K,12/13,Away,CLE,FirstEnergy Stadium,1,1,100
2015,"Dawson, Phil",SF,K,12/20,Home,CIN,Levi's Stadium,2,2,100
2015,"Dawson, Phil",SF,K,12/27,Away,DET,Ford Field,2,2,100
2015,"Dawson, Phil",SF,K,01/03,Home,LAR,Levi's Stadium,1,1,100
2015,"Hauschka, Steven",SEA,K,09/13,Away,LAR,Los Angeles Memorial Coliseum,2,2,100
2015,"Hauschka, Steven",SEA,K,09/20,Away,GB,Lambeau Field,2,2,100
2015,"Hauschka, Steven",SEA,K,09/27,Home,CHI,CenturyLink Field,2,2,100
2015,"Hauschka, Steven",SEA,K,10/05,Home,DET,CenturyLink Field,1,1,100
2015,"Hauschka, Steven",SEA,K,10/11,Away,CIN,Paul Brown Stadium,3,3,100
2015,"Hauschka, Steven",SEA,K,10/18,Home,CAR,CenturyLink Field,2,2,100
2015,"Hauschka, Steven",SEA,K,10/22,Away,SF,Levi's Stadium,2,2,100
2015,"Hauschka, Steven",SEA,K,11/01,Away,DAL,AT&T Stadium,1,1,100
2015,"Hauschka, Steven",SEA,K,11/15,Home,ARI,CenturyLink Field,2,2,100
2015,"Hauschka, Steven",SEA,K,11/22,Home,SF,CenturyLink Field,2,4,50
2015,"Hauschka, Steven",SEA,K,11/29,Home,PIT,CenturyLink Field,3,4,75
2015,"Hauschka, Steven",SEA,K,12/06,Away,MIN,U.S. Bank Stadium,5,5,100
2015,"Hauschka, Steven",SEA,K,12/13,Away,BAL,M&T Bank Stadium,5,5,100
2015,"Hauschka, Steven",SEA,K,12/20,Home,CLE,CenturyLink Field,3,3,100
2015,"Hauschka, Steven",SEA,K,12/27,Home,LAR,CenturyLink Field,2,2,100
2015,"Hauschka, Steven",SEA,K,01/03,Away,ARI,State Farm Stadium,3,4,75
2015,"Crosby, Mason",GB,K,09/13,Away,CHI,Soldier Field,4,4,100
2015,"Crosby, Mason",GB,K,09/20,Home,SEA,Lambeau Field,1,1,100
2015,"Crosby, Mason",GB,K,09/28,Home,KC,Lambeau Field,5,5,100
2015,"Crosby, Mason",GB,K,10/04,Away,SF,Levi's Stadium,2,2,100
2015,"Crosby, Mason",GB,K,10/11,Home,LAR,Lambeau Field,3,3,100
2015,"Crosby, Mason",GB,K,10/18,Home,LAC,Lambeau Field,3,3,100
2015,"Crosby, Mason",GB,K,11/01,Away,DEN,Broncos Stadium at Mile High,1,1,100
2015,"Crosby, Mason",GB,K,11/08,Away,CAR,Bank of America Stadium,3,3,100
2015,"Crosby, Mason",GB,K,11/15,Home,DET,Lambeau Field,1,1,100
2015,"Crosby, Mason",GB,K,11/22,Away,MIN,U.S. Bank Stadium,1,1,100
2015,"Crosby, Mason",GB,K,11/26,Home,CHI,Lambeau Field,1,1,100
2015,"Crosby, Mason",GB,K,12/03,Away,DET,Ford Field,3,3,100
2015,"Crosby, Mason",GB,K,12/13,Home,DAL,Lambeau Field,4,4,100
2015,"Crosby, Mason",GB,K,12/20,Away,OAK,Oakland–Alameda County Coliseum,3,3,100
2015,"Crosby, Mason",GB,K,12/27,Away,ARI,State Farm Stadium,--,--,--
2015,"Crosby, Mason",GB,K,01/03,Home,MIN,Lambeau Field,1,1,100
2015,"Prater, Matt",DET,K,09/13,Away,LAC,StubHub Center,4,4,100
2015,"Prater, Matt",DET,K,09/20,Away,MIN,U.S. Bank Stadium,1,1,100
2015,"Prater, Matt",DET,K,09/27,Home,DEN,Ford Field,0,1,0
2015,"Prater, Matt",DET,K,10/05,Away,SEA,CenturyLink Field,1,1,100
2015,"Prater, Matt",DET,K,10/11,Home,ARI,Ford Field,2,2,100
2015,"Prater, Matt",DET,K,10/18,Home,CHI,Ford Field,4,4,100
2015,"Prater, Matt",DET,K,10/25,Home,MIN,Ford Field,2,2,100
2015,"Prater, Matt",DET,K,11/01,Away,KC,Arrowhead Stadium,1,1,100
2015,"Prater, Matt",DET,K,11/15,Away,GB,Lambeau Field,0,2,0
2015,"Prater, Matt",DET,K,11/22,Home,OAK,Ford Field,1,1,100
2015,"Prater, Matt",DET,K,11/26,Home,PHI,Ford Field,6,6,100
